地区           ,岗位名称             ,招聘机构        ,薪水         ,行业
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
北京 朝阳区 来广营   ,中高级算法工程师         ,尚德机构        ,20k-40k    ,互联网
北京 海淀区 中关村   ,感知算法工程师          ,地平线         ,20k-40k    ,互联网
北京 海淀区 海淀北部新区,深度学习算法工程师        ,鼎奕科技        ,13k-26k    ,汽车生产
北京 海淀区 知春路   ,机器学习算法工程师        ,vivo        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,高级策略算法工程师        ,北京字节跳动      ,25k-50k    ,移动互联网
北京 海淀区 西北旺   ,计算机视觉算法工程师       ,百度          ,20k-30k    ,互联网
北京 朝阳区 大屯    ,机器学习算法工程师        ,京东集团        ,3k-6k      ,电子商务
北京 海淀区 北京大学  ,计算机视觉算法工程师       ,北大方正        ,15k-25k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,20k-30k    ,移动互联网
北京 朝阳区 定福庄   ,图像处理算法工程师        ,好大夫在线       ,30k-60k    ,移动互联网
北京 海淀区 清河    ,高级算法工程师/专家       ,多牛传媒        ,25k-40k    ,广告营销
北京 海淀区 西二旗   ,抗干扰算法工程师         ,北京华力创通      ,15k-30k    ,通信/网络设备
北京 朝阳区 太阳宫   ,人工智能算法工程师        ,唱吧          ,15k-30k    ,互联网
北京 朝阳区 望京    ,音频算法工程师          ,映客直播        ,25k-35k    ,移动互联网
北京 朝阳区 十里堡   ,资深算法工程师／专家       ,VIPKID      ,20k-40k    ,移动互联网
北京 海淀区 五道口   ,规划算法工程师          ,魔门塔科技       ,27k-50k    ,计算机软件
北京 朝阳区 小营    ,数据算法工程师          ,中信百信银行      ,20k-25k    ,银行
北京 石景山区 苹果园  ,高级算法工程师          ,超思电子        ,25k-50k    ,医疗健康
北京 海淀区 知春路   ,算法工程师            ,美篇          ,30k-60k    ,社交网络
北京 海淀区 五道口   ,视觉算法工程师          ,魔门塔科技       ,30k-60k    ,计算机软件
北京 海淀区 五道口   ,实习算法工程师          ,中国科学院软件研究所  ,3k-6k      ,计算机软件
北京 海淀区 上地    ,资深策略算法工程师        ,滴滴出行        ,20k-40k    ,移动互联网
北京 海淀区 上地    ,高级算法工程师/专家       ,滴滴出行        ,25k-50k    ,移动互联网
北京 海淀区 中关村   ,深度学习算法工程师        ,去哪儿         ,20k-40k    ,互联网
北京 朝阳区 望京    ,机器学习算法工程师        ,云校          ,30k-50k    ,互联网
北京 海淀区 上地    ,智能计算-算法工程师       ,新浪网         ,30k-60k    ,互联网
北京 海淀区 上地    ,算法工程师（NLP方向）     ,跟谁学         ,25k-50k    ,互联网
北京 东城区 朝阳门   ,高级NLP算法工程师       ,居理新房        ,30k-60k    ,互联网
北京 朝阳区 大屯    ,计算视觉算法工程师        ,linkface    ,25k-50k    ,智能硬件
北京 朝阳区 小营    ,计算机视觉算法工程师       ,小红书         ,25k-50k    ,互联网
             ,                 ,            ,           ,