地区         ,岗位名称                   ,招聘机构        ,薪水     ,行业
北京 海淀区 清河  ,爬虫工程师                  ,小米          ,20k-40k,互联网
北京 朝阳区 朝外  ,爬虫工程师                  ,同程艺龙        ,18k-35k,互联网
北京 海淀区 双榆树 ,爬虫工程师                  ,北京字节跳动      ,25k-50k,移动互联网
北京 朝阳区 高碑店 ,爬虫工程师                  ,迪思公关        ,10k-15k,广告/公关/会展
北京 海淀区 上地  ,高级爬虫工程师                ,千里马网        ,35k-50k,互联网
北京 朝阳区 小营  ,爬虫工程师                  ,快看世界        ,15k-30k,移动互联网
北京 海淀区 皂君庙 ,爬虫工程师                  ,中科聚网        ,8k-13k ,计算机软件
北京 海淀区 航天桥 ,爬虫工程师                  ,北京好脉        ,18k-30k,移动互联网
北京 海淀区 五道口 ,高级爬虫工程师                ,快手          ,20k-40k,社交网络
北京         ,高级爬虫工程师                ,快手          ,20k-40k,社交网络
北京 海淀区 苏州街 ,高级爬虫工程师                ,趣头条         ,25k-40k,移动互联网
北京 海淀区 皂君庙 ,爬虫工程师中级                ,中科聚网        ,12k-20k,计算机软件
北京 海淀区 西二旗 ,高级爬虫工程师                ,艾瓦特         ,25k-50k,互联网
北京 海淀区 西二旗 ,高级爬虫工程师                ,艾瓦特         ,30k-50k,互联网
北京 朝阳区 北苑  ,爬虫工程师                  ,杰森聚力        ,15k-30k,广告营销
北京 西城区 西单  ,爬虫工程师                  ,云天弈         ,8k-15k ,移动互联网
北京 朝阳区 柳芳  ,爬虫工程师                  ,诺信创联        ,12k-20k,医疗健康
北京 东城区 东直门 ,爬虫工程师                  ,WalktheChat ,15k-25k,互联网
北京 西城区 西单  ,爬虫工程师                  ,兆原数通        ,3k-5k  ,移动互联网
北京 海淀区 知春路 ,爬虫工程师                  ,诚智汇达        ,8k-16k ,互联网
北京 海淀区 知春路 ,爬虫工程师                  ,天健世纪        ,15k-20k,计算机软件
北京 朝阳区 朝阳门 ,爬虫工程师                  ,中胜信用        ,15k-25k,数据服务
北京 丰台区 科技园区,爬虫工程师（ASM项目）           ,巨掌广告        ,25k-30k,移动互联网
北京 海淀区 五道口 ,高级爬虫工程师                ,快手          ,40k-45k,社交网络
北京 朝阳区 朝阳门 ,高级python爬虫工程师          ,拍库          ,15k-25k,电子商务
北京 朝阳区 北苑  ,高级爬虫工程师                ,杰森聚力        ,20k-35k,广告营销
北京 海淀区 知春路 ,爬虫工程师                  ,天健世纪        ,25k-40k,计算机软件
北京 朝阳区 望京  ,python爬虫工程师            ,文旅帮         ,15k-30k,其他行业
北京 朝阳区 三里屯 ,爬虫工程师                  ,有大家科技       ,15k-25k,文化/体育/娱乐
北京 海淀区 上地  ,大数据爬虫工程师               ,闪送科技        ,20k-40k,互联网
北京 海淀区 远大路 ,爬虫工程师实习生               ,语智云帆        ,4k-8k  ,咨询
北京 海淀区 中关村 ,Java爬虫工程师              ,谷德环宇科技      ,15k-30k,移动互联网
北京 海淀区 上地  ,爬虫工程师实习生               ,TransferEasy,3k-5k  ,互联网金融
北京 海淀区 中关村 ,爬虫工程师                  ,InnoTREE    ,25k-40k,互联网
北京 海淀区 中关村 ,高级爬虫工程师                ,InnoTREE    ,20k-40k,互联网
北京         ,爬虫工程师                  ,熵简          ,20k-35k,数据服务
北京 朝阳区 呼家楼 ,网络爬虫研发工程师              ,人民在线        ,15k-25k,媒体
北京 海淀区 动物园 ,爬虫开发工程师                ,子衿晨风        ,11k-22k,数据服务
北京 西城区 马甸  ,爬虫开发工程师                ,英视睿达        ,10k-15k,数据服务
北京         ,搜索爬虫研发工程师--c++         ,中国搜索        ,20k-30k,互联网
北京 东城区 东四  ,Python爬虫与数据工程师         ,百观          ,17k-26k,互联网金融
北京 海淀区 五棵松 ,Python工程师（爬虫方向）        ,北京计算机研究所    ,13k-26k,其他行业
北京 朝阳区 双桥  ,Java工程师(爬虫方向)          ,GEO集奥聚合     ,15k-20k,数据服务
北京 海淀区 中关村 ,Python爬虫开发工程师          ,谷德环宇科技      ,15k-30k,移动互联网
北京 海淀区 清河  ,高级爬虫/数据抓取工程师           ,速威          ,13k-26k,计算机软件
北京 朝阳区 朝阳公园,高级Python开发工程师／爬虫／Spider,智线云         ,15k-25k,移动互联网
北京         ,数据工程师（爬虫方向实习生）         ,币世界         ,3k-6k  ,互联网
北京         ,反爬虫工程师                 ,京东集团        ,30k-45k,电子商务
北京         ,高级爬虫工程师                ,京东集团        ,30k-40k,电子商务
北京         ,高级爬虫工程师                ,京东集团        ,25k-45k,电子商务
北京 海淀区 西二旗 ,高级爬虫工程师                ,艾瓦特         ,20k-30k,互联网
北京 朝阳区 双桥  ,爬虫工程师                  ,GEO集奥聚合     ,18k-28k,数据服务
北京 朝阳区 望京  ,爬虫工程师                  ,非得通证        ,16k-22k,移动互联网
北京 海淀区 清华大学,python爬虫工程师            ,氢元数据        ,4k-5k  ,互联网
北京 朝阳区 望京  ,爬虫工程师                  ,热云数据        ,20k-40k,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,奇虎360       ,18k-36k,互联网
北京 海淀区 苏州街 ,爬虫工程师                  ,北京丰度        ,12k-24k,计算机软件
北京 大兴区     ,反爬虫安全工程师               ,京东集团        ,20k-40k,电子商务
北京 朝阳区 望京  ,爬虫工程师                  ,凤凰金融        ,15k-30k,互联网
北京 海淀区 五道口 ,爬虫工程师                  ,深度交叉        ,20k-40k,计算机软件
北京 朝阳区 望京  ,交互式爬虫工程师               ,凤凰金融        ,20k-30k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,搜狐新媒体       ,20k-38k,互联网
北京 朝阳区 安贞  ,python爬虫工程师（可兼职）       ,江泰优投        ,18k-20k,企业服务
北京 朝阳区 望京  ,Python开发工程师(爬虫方向)      ,未来安全        ,15k-30k,信息安全
北京 海淀区 知春路 ,java爬虫工程师              ,开普互联        ,15k-20k,计算机软件
北京 朝阳区 朝外  ,网络爬虫和数据清洗工程师           ,懂秘邦         ,16k-25k,数据服务
北京         ,爬虫工程师                  ,京东集团        ,20k-40k,电子商务
北京 海淀区 万柳  ,爬虫工程师                  ,留给时间        ,20k-30k,互联网
北京 朝阳区 管庄  ,爬虫工程师                  ,博得天策        ,10k-20k,广告/公关/会展
北京 东城区 前门  ,高级爬虫工程师                ,金恪集团        ,12k-18k,互联网
北京 海淀区 清河  ,高级爬虫工程师                ,鼎阅集团        ,25k-50k,移动互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,深度智耀        ,10k-20k,互联网
北京 海淀区 清河  ,Java高级爬虫工程师            ,鼎阅集团        ,20k-30k,移动互联网
北京 海淀区 清河  ,中高级爬虫工程师               ,鼎阅集团        ,15k-25k,移动互联网
北京 朝阳区 十里河 ,高级爬虫工程师                ,三合兴元        ,30k-40k,移动互联网
北京 石景山区 古城 ,Python爬虫工程师            ,创数云天        ,8k-15k ,计算机软件
北京         ,小米互联网创新业务高级爬虫工程师       ,小米          ,20k-40k,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,艾漫数据        ,9k-18k ,互联网
北京 朝阳区 酒仙桥 ,爬虫/反爬工程师J10059         ,途家网         ,15k-25k,互联网
北京 朝阳区 望京  ,爬虫工程师                  ,普奥云         ,21k-41k,数据服务
北京 海淀区 皂君庙 ,高级爬虫工程师                ,北京邦利德       ,18k-25k,移动互联网
北京 朝阳区 甜水园 ,python开发工程师（爬虫）        ,36氪集团       ,15k-30k,互联网
北京 朝阳区 四惠  ,爬虫工程师                  ,深圳市优格世达科... ,9k-16k ,计算机服务
北京 朝阳区 酒仙桥 ,反爬虫工程师                 ,同程艺龙        ,20k-40k,互联网
北京 海淀区 双榆树 ,广告爬虫工程师                ,今日头条        ,25k-50k,移动互联网
北京         ,爬虫工程师                  ,京东数字科技      ,15k-30k,互联网
北京 海淀区 白石桥 ,爬虫工程师                  ,象翌微链        ,15k-25k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,数字引擎        ,15k-25k,数据服务
北京 朝阳区 酒仙桥 ,Python爬虫工程师            ,BJUED       ,10k-18k,计算机软件
北京 海淀区 五道口 ,高级爬虫工程师（数据采集，大数据方向）    ,融多易         ,10k-20k,互联网金融
北京 朝阳区 望京  ,高级JAVA爬虫工程师            ,真相网络科技      ,20k-35k,互联网
北京 海淀区 上地  ,爬虫工程师                  ,手机小游戏       ,8k-10k ,游戏
北京 朝阳区 大望路 ,资深爬虫研发工程师              ,融慧金科        ,30k-50k,互联网金融
北京 朝阳区 朝外  ,python爬虫工程师            ,朱雀股权投资      ,10k-15k,互联网金融
北京 海淀区 中关村 ,爬虫工程师                  ,中科院计算所      ,3k-4k  ,计算机软件
北京 海淀区 中关村 ,爬虫负责人                  ,Face++      ,25k-50k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,艾姆拜氪        ,15k-30k,社交网络
北京 朝阳区 东大桥 ,搜索引擎和爬虫工程师             ,枫玉科技        ,20k-40k,移动互联网
北京 丰台区 六里桥 ,爬虫工程师                  ,易通明德        ,20k-30k,互联网
北京 西城区 阜成门 ,高级爬虫工程师                ,网智天元        ,15k-25k,数据服务
北京 朝阳区 朝外  ,高级爬虫工程师                ,36氪集团       ,25k-35k,互联网
北京 海淀区 上地  ,爬虫开发工程师                ,手机小游戏       ,10k-13k,游戏
北京 海淀区 知春路 ,高级爬虫工程师                ,九州盛腾科技      ,25k-45k,企业服务
北京 东城区 东四  ,爬虫工程师                  ,中诚信征信       ,10k-15k,互联网
北京         ,高级java爬虫开发工程师          ,京东数字科技      ,20k-40k,互联网
北京 海淀区 四季青 ,高级爬虫工程师                ,子衿晨风        ,15k-30k,数据服务
北京 海淀区 四季青 ,高级爬虫工程师                ,子衿晨风        ,15k-30k,数据服务
北京 海淀区 五道口 ,爬虫工程师（QDJKT-180104-0）  ,启迪金科        ,20k-30k,互联网金融
北京 朝阳区 望京  ,Java爬虫工程师              ,马上消费金融      ,15k-30k,互联网金融
北京 海淀区 中关村 ,爬虫工程师                  ,程创科技        ,15k-20k,数据服务
北京 朝阳区 望京  ,爬虫工程师                  ,水滴互助        ,20k-40k,互联网金融
北京 朝阳区 望京  ,爬虫工程师                  ,宜创科技        ,15k-30k,移动互联网
北京 丰台区 洋桥  ,JAVA爬虫工程师              ,天世元         ,15k-30k,旅游
北京 东城区 朝阳门 ,爬虫工程师                  ,roobo       ,15k-30k,智能硬件
北京 海淀区 五道口 ,python爬虫工程师            ,北京普创智通      ,10k-20k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,搜狐焦点        ,20k-30k,互联网
北京 海淀区 四季青 ,爬虫系统研发工程师              ,子衿晨风        ,15k-30k,数据服务
北京 朝阳区 大望路 ,爬虫工程师                  ,大拿网络科技      ,8k-14k ,互联网
北京 朝阳区 八里庄 ,Python爬虫工程师            ,大拿网络科技      ,8k-12k ,互联网
北京 海淀区 上地  ,Java高级工程师（爬虫方向）        ,北京智同久远科技... ,25k-40k,互联网
北京 海淀区 中关村 ,爬虫工程师                  ,爱奇艺         ,20k-25k,互联网
北京 海淀区 西北旺 ,质量工程中心 高级爬虫研发工程师       ,百度          ,15k-30k,互联网
北京         ,Java爬虫，反爬工程师           ,京东集团        ,18k-30k,电子商务
北京 朝阳区 燕莎  ,海外事业部-爬虫工程师J10389      ,途家网         ,15k-25k,互联网
北京 朝阳区 朝外  ,海外事业部-爬虫工程师（实习）J10397  ,途家网         ,2k-4k  ,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,同程艺龙        ,20k-30k,互联网
北京 朝阳区 酒仙桥 ,爬虫工程师                  ,明日          ,10k-20k,游戏
北京 朝阳区 望京  ,爬虫工程师                  ,骑士联盟信息服务    ,15k-30k,互联网金融
北京         ,爬虫工程师                  ,云合数据        ,8k-16k ,移动互联网
北京         ,爬虫工程师                  ,红外高科        ,10k-15k,社交网络
北京 海淀区 五道口 ,爬虫工程师                  ,寻球科技        ,10k-20k,互联网
北京 海淀区 知春路 ,广告爬虫工程师                ,北京字节跳动      ,25k-50k,移动互联网
北京 朝阳区 望京  ,爬虫工程师                  ,超对称         ,13k-26k,互联网
北京 朝阳区 国贸  ,爬虫开发工程师                ,旭金科技        ,12k-24k,互联网金融
北京 海淀区 中关村 ,数据爬虫工程师                ,创业公社        ,12k-18k,互联网
北京 海淀区 五道口 ,大数据java工程师（偏爬虫）        ,安妮股份        ,20k-21k,移动互联网
北京 朝阳区 望京  ,爬虫开发工程师                ,一点资讯        ,15k-30k,移动互联网
北京 海淀区 上地  ,Python爬虫抓取             ,小圈子         ,20k-40k,互联网
北京 海淀区 西北旺 ,机器学习/数据挖掘研发工程师         ,百度          ,20k-35k,互联网
北京 海淀区 学院路 ,全栈/后端开发资深工程师           ,逸风金科        ,15k-30k,计算机软件
北京         ,软件开发工程师                ,京东数字科技      ,20k-25k,互联网
北京 朝阳区 四惠  ,数据采集                   ,微享移动        ,15k-20k,计算机软件
北京 海淀区 颐和园 ,PHP                    ,E20环境平台     ,10k-11k,互联网
北京 西城区 月坛  ,Python                 ,中经云         ,10k-20k,互联网
