job_company    ,job_education,job_industry,job_listed,job_location,job_name                  ,job_persons,job_salary,job_time ,job_year
旷视科技           ,本科           ,移动互联网       ,C轮        ,北京 海淀区 中关村  ,Python                    ,1000-9999人 ,20k-30k   ,发布于昨天    ,3-5年
赤骥商贸有限公司       ,大专           ,贸易/进出口      ,未融资       ,北京 朝阳区 朝外   ,PYthon                    ,100-499人   ,12k-24k   ,发布于昨天    ,5-10年
传智播客           ,学历不限         ,在线教育        ,已上市       ,北京 昌平区 回龙观  ,python讲师(J11808)          ,1000-9999人 ,25k-35k   ,发布于02月20日,经验不限
佰钧成技术          ,学历不限         ,计算机软件       ,不需要融资     ,北京 朝阳区 望京   ,Python                    ,1000-9999人 ,12k-19k   ,发布于02月14日,1-3年
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 五道口  ,Python                    ,100-499人   ,25k-50k   ,发布于02月16日,3-5年
今日头条           ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Python                    ,10000人以上   ,20k-40k   ,发布于02月14日,3-5年
PACTERA        ,本科           ,计算机软件       ,已上市       ,北京 昌平区 沙河   ,Python                    ,10000人以上   ,9k-14k    ,发布于02月26日,3-5年
蚂蚁金服           ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 朝外   ,Python                    ,10000人以上   ,25k-50k   ,发布于02月18日,3-5年
BoringKillerLtd,本科           ,移动互联网       ,天使轮       ,北京 海淀区 万寿路  ,Python                    ,20-99人     ,20k-25k   ,发布于02月26日,3-5年
文思海辉           ,大专           ,计算机软件       ,已上市       ,北京 海淀区 上地   ,python                    ,10000人以上   ,13k-20k   ,发布于02月25日,3-5年
微奇科技           ,大专           ,计算机软件       ,未融资       ,北京 朝阳区 酒仙桥  ,Python                    ,20-99人     ,17k-22k   ,发布于昨天    ,5-10年
Cloudin云英      ,本科           ,互联网         ,A轮        ,北京 朝阳区 小营   ,Python                    ,100-499人   ,15k-26k   ,发布于02月19日,3-5年
亿达信息           ,大专           ,计算机软件       ,不需要融资     ,北京 朝阳区 望京   ,Python开发                  ,1000-9999人 ,15k-17k   ,发布于02月22日,3-5年
汉得信息           ,学历不限         ,计算机软件       ,已上市       ,北京 朝阳区 望京   ,python爬虫                  ,10000人以上   ,20k-30k   ,发布于14:59 ,5-10年
慧科集团           ,本科           ,在线教育        ,D轮及以上     ,北京 海淀区 知春路  ,Python助教                  ,500-999人   ,8k-13k    ,发布于02月20日,1-3年
58到家           ,本科           ,互联网         ,B轮        ,北京 朝阳区 北苑   ,python工程师                 ,1000-9999人 ,40k-50k   ,发布于02月20日,5-10年
艾唯博瑞           ,本科           ,互联网         ,未融资       ,北京 东城区 东四   ,Python                    ,20-99人     ,15k-25k   ,发布于02月26日,5-10年
一起竞赛网          ,本科           ,在线教育        ,天使轮       ,北京 海淀区 魏公村  ,Python                    ,20-99人     ,10k-15k   ,发布于02月18日,1-3年
中信百信银行         ,本科           ,银行          ,不需要融资     ,北京 朝阳区 小营   ,Python                    ,500-999人   ,20k-40k   ,发布于02月24日,3-5年
海马云            ,本科           ,数据服务        ,C轮        ,北京 朝阳区 酒仙桥  ,Python                    ,100-499人   ,12k-18k   ,发布于02月20日,3-5年
传智播客           ,大专           ,在线教育        ,已上市       ,北京 顺义区 马坡   ,Python就业指导                ,1000-9999人 ,10k-15k   ,发布于02月20日,1-3年
大云科技           ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 高碑店  ,Python                    ,0-20人      ,10k-12k   ,发布于02月17日,1-3年
中软国际           ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 大望路  ,后端python开发                ,10000人以上   ,14k-15k   ,发布于02月14日,1-3年
紫光云            ,本科           ,计算机软件       ,不需要融资     ,北京 海淀区 五道口  ,Python工程师-00225           ,1000-9999人 ,15k-19k   ,发布于02月25日,3-5年
智行未来(北京)...    ,本科           ,互联网         ,未融资       ,北京 朝阳区 对外经贸 ,Python技术总监                ,0-20人      ,30k-60k   ,发布于02月25日,5-10年
美菜网            ,本科           ,移动互联网       ,D轮及以上     ,北京 朝阳区 安贞   ,Python高级工程师/专家            ,10000人以上   ,30k-50k   ,发布于昨天    ,3-5年
慧科集团           ,本科           ,在线教育        ,D轮及以上     ,北京 海淀区 知春路  ,Python讲师                  ,500-999人   ,15k-30k   ,发布于02月20日,5-10年
苏州闻道           ,本科           ,互联网         ,不需要融资     ,北京 丰台区 草桥   ,Python工程师                 ,100-499人   ,12k-20k   ,发布于14:36 ,1-3年
创新奇智           ,硕士           ,计算机服务       ,A轮        ,北京 海淀区 中关村  ,Python工程师                 ,100-499人   ,6k-7k     ,发布于02月22日,经验不限
一号车网           ,本科           ,互联网         ,已上市       ,北京 海淀区 西北旺  ,Python开发工程师               ,1000-9999人 ,15k-28k   ,发布于02月19日,3-5年
今日头条           ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Python开发工程师               ,10000人以上   ,25k-45k   ,发布于02月16日,1-3年
小米             ,本科           ,互联网         ,已上市       ,北京 海淀区 清河   ,高级Python工程师               ,10000人以上   ,25k-45k   ,发布于11:20 ,3-5年
传智播客           ,本科           ,在线教育        ,已上市       ,北京 昌平区 西三旗  ,python高级研发(J11803)        ,1000-9999人 ,25k-30k   ,发布于02月20日,3-5年
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 学院路  ,Python开发工程师               ,100-499人   ,15k-30k   ,发布于13:44 ,1-3年
和川创新           ,本科           ,计算机软件       ,不需要融资     ,北京 海淀区 车公庄  ,Python架构                  ,100-499人   ,18k-30k   ,发布于02月25日,5-10年
联想利泰           ,本科           ,移动互联网       ,已上市       ,北京 海淀区 西北旺  ,Python爬虫工程师               ,1000-9999人 ,14k-16k   ,发布于02月26日,3-5年
四维智联           ,本科           ,互联网         ,A轮        ,北京 海淀区 西北旺  ,资深Python工程师               ,1000-9999人 ,20k-35k   ,发布于02月26日,3-5年
网宿科技           ,本科           ,互联网         ,已上市       ,北京 海淀区 知春路  ,Python开发工程师               ,1000-9999人 ,12k-24k   ,发布于02月20日,经验不限
北明软件           ,本科           ,互联网         ,已上市       ,北京 朝阳区 朝外   ,Python应用工程师               ,1000-9999人 ,12k-24k   ,发布于12:01 ,3-5年
便利蜂            ,本科           ,互联网         ,不需要融资     ,北京 朝阳区 酒仙桥  ,Python高级工程师               ,1000-9999人 ,20k-35k   ,发布于10:35 ,3-5年
法本             ,学历不限         ,计算机软件       ,已上市       ,北京 朝阳区 大望路  ,python开发                  ,1000-9999人 ,15k-18k   ,发布于02月26日,3-5年
北京慧博科技有限公司     ,本科           ,移动互联网       ,不需要融资     ,北京          ,后端架构师（Python）             ,1000-9999人 ,18k-30k   ,发布于09:20 ,5-10年
文思海辉           ,本科           ,计算机软件       ,已上市       ,北京 海淀区 万柳   ,中级python开发                ,10000人以上   ,10k-15k   ,发布于昨天    ,3-5年
宇信科技           ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 小营   ,Python开发                  ,1000-9999人 ,8k-10k    ,发布于昨天    ,3-5年
金泰亚盛           ,本科           ,计算机软件       ,D轮及以上     ,北京 顺义区 后沙峪  ,Python开发                  ,100-499人   ,15k-25k   ,发布于02月21日,3-5年
ADVANCE        ,本科           ,互联网         ,B轮        ,北京 朝阳区 望京   ,高级Python工程师               ,500-999人   ,20k-30k   ,发布于02月25日,3-5年
知呱呱            ,本科           ,互联网         ,B轮        ,北京 海淀区 四季青  ,python开发                  ,500-999人   ,17k-30k   ,发布于02月22日,5-10年
波场             ,本科           ,互联网         ,不需要融资     ,北京 海淀区 中关村  ,高级python工程师               ,100-499人   ,15k-25k   ,发布于02月18日,3-5年
Face++         ,本科           ,互联网         ,D轮及以上     ,北京 海淀区 中关村  ,Python后端工程师               ,1000-9999人 ,18k-30k   ,发布于02月20日,5-10年
学科网            ,本科           ,互联网         ,B轮        ,北京 房山区 良乡   ,Python研发工程师               ,500-999人   ,20k-40k   ,发布于02月14日,5-10年
玩蟹科技           ,大专           ,游戏          ,已上市       ,北京 海淀区 清河   ,Python开发工程师               ,500-999人   ,20k-30k   ,发布于02月22日,5-10年
DNV音乐集团        ,本科           ,音乐/视频/阅读    ,A轮        ,北京 朝阳区 酒仙桥  ,高级Python工程师               ,100-499人   ,25k-50k   ,发布于02月21日,5-10年
链游             ,学历不限         ,游戏          ,天使轮       ,北京 朝阳区 劲松   ,python工程师                 ,20-99人     ,10k-14k   ,发布于02月22日,3-5年
四维智联           ,本科           ,互联网         ,A轮        ,北京 海淀区 西北旺  ,高级Python开发                ,1000-9999人 ,15k-25k   ,发布于02月26日,1-3年
京东数字科技         ,本科           ,互联网         ,不需要融资     ,北京          ,Python开发（风控）              ,1000-9999人 ,17k-27k   ,发布于02月23日,3-5年
瓦力工厂机器人        ,本科           ,智能硬件        ,B轮        ,北京 丰台区 世界公园 ,Python课程研发                ,100-499人   ,7k-10k    ,发布于02月21日,1-3年
金泰亚盛           ,本科           ,计算机软件       ,D轮及以上     ,北京 顺义区 后沙峪  ,Python开发                  ,100-499人   ,10k-15k   ,发布于02月14日,1-3年
芸品绿            ,本科           ,信息安全        ,天使轮       ,北京 朝阳区 酒仙桥  ,python工程师                 ,20-99人     ,15k-30k   ,发布于02月14日,3-5年
知道创宇           ,本科           ,互联网         ,C轮        ,北京 朝阳区 望京   ,python实习生(J10159)         ,500-999人   ,2k-4k     ,发布于昨天    ,经验不限
DNV音乐集团        ,本科           ,音乐/视频/阅读    ,A轮        ,北京 朝阳区 酒仙桥  ,python工程师                 ,100-499人   ,15k-25k   ,发布于02月18日,3-5年
今日头条           ,本科           ,移动互联网       ,D轮及以上     ,北京 海淀区 中关村  ,Python后端开发工程师             ,10000人以上   ,20k-40k   ,发布于10:53 ,经验不限
中科软            ,本科           ,计算机软件       ,已上市       ,北京 东城区 王府井  ,python开发工程师               ,10000人以上   ,9k-12k    ,发布于02月18日,1-3年
志翔科技           ,本科           ,信息安全        ,B轮        ,北京 海淀区 学院路  ,Python大数据工程师              ,100-499人   ,15k-30k   ,发布于02月26日,3-5年
联想利泰           ,本科           ,移动互联网       ,已上市       ,北京 海淀区 西北旺  ,Python爬虫工程师               ,1000-9999人 ,14k-16k   ,发布于02月26日,3-5年
有用分期           ,本科           ,互联网金融       ,C轮        ,北京 朝阳区 望京   ,高级Python工程师               ,1000-9999人 ,15k-25k   ,发布于02月25日,3-5年
企商在线           ,大专           ,移动互联网       ,A轮        ,北京 西城区 动物园  ,python研发工程师               ,100-499人   ,13k-17k   ,发布于09:09 ,1-3年
萌果科技           ,本科           ,游戏          ,A轮        ,北京 昌平区 回龙观  ,Python后端主程                ,0-20人      ,15k-25k   ,发布于02月13日,3-5年
华航北斗           ,硕士           ,电子/半导体/集成电路 ,不需要融资     ,北京 海淀区 中关村  ,Python开发工程师               ,500-999人   ,12k-20k   ,发布于昨天    ,1年以内
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 五道口  ,高级python开发工程师             ,100-499人   ,25k-40k   ,发布于02月26日,3-5年
茂逊             ,本科           ,电子商务        ,C轮        ,北京          ,Python开发工程师               ,500-999人   ,20k-40k   ,发布于02月25日,5-10年
智融集团           ,本科           ,互联网         ,C轮        ,北京 海淀区 知春路  ,Python工程师（To B）           ,100-499人   ,15k-30k   ,发布于02月21日,1-3年
Cloudin云英      ,本科           ,互联网         ,A轮        ,北京 朝阳区 小营   ,Python研发工程师               ,100-499人   ,16k-30k   ,发布于02月18日,3-5年
零点             ,本科           ,数据服务        ,已上市       ,北京 朝阳区 酒仙桥  ,Python爬虫工程师               ,500-999人   ,12k-24k   ,发布于02月26日,1-3年
赤子城            ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 三元桥  ,python开发工程师               ,100-499人   ,18k-28k   ,发布于02月26日,3-5年
旷视科技           ,本科           ,移动互联网       ,C轮        ,北京 海淀区 中关村  ,python工具开发                ,1000-9999人 ,20k-40k   ,发布于昨天    ,1-3年
志鸿英华           ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 安贞   ,python脚本编写                ,100-499人   ,10k-13k   ,发布于14:28 ,1-3年
深圳市领讯云智能       ,大专           ,培训机构        ,          ,北京 丰台区 北大地  ,python讲师                  ,0-20人      ,15k-25k   ,发布于02月24日,1-3年
蓝草科技           ,学历不限         ,人力资源服务      ,          ,北京 海淀区 万柳   ,Python 开发                 ,0-20人      ,4k-9k     ,发布于02月22日,经验不限
中信百信银行         ,本科           ,银行          ,不需要融资     ,北京 朝阳区 小营   ,python开发工程师               ,500-999人   ,15k-30k   ,发布于02月22日,1-3年
泰洋川禾           ,本科           ,音乐/视频/阅读    ,B轮        ,北京 朝阳区 高碑店  ,python爬虫工程师               ,100-499人   ,20k-30k   ,发布于02月15日,5-10年
北京趣活科技有限公司     ,本科           ,移动互联网       ,D轮及以上     ,北京 朝阳区 百子湾  ,高级python开发工程师             ,500-999人   ,15k-25k   ,发布于02月18日,3-5年
好未来            ,本科           ,互联网         ,已上市       ,北京 海淀区 万柳   ,AI Lab- Python实习生         ,10000人以上   ,4k-6k     ,发布于02月22日,经验不限
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 学院路  ,Python开发工程师               ,100-499人   ,11k-22k   ,发布于13:43 ,3-5年
查悦社保           ,本科           ,互联网         ,B轮        ,北京 朝阳区 大望路  ,Python爬虫工程师               ,20-99人     ,10k-15k   ,发布于02月13日,1-3年
金泰亚盛           ,本科           ,计算机软件       ,D轮及以上     ,北京 顺义区 后沙峪  ,Python开发                  ,100-499人   ,11k-22k   ,发布于02月25日,5-10年
信捷亿            ,本科           ,互联网         ,未融资       ,北京 朝阳区 亮马桥  ,python开发                  ,20-99人     ,12k-21k   ,发布于02月20日,5-10年
Flow++         ,本科           ,数据服务        ,A轮        ,北京 海淀区 上地   ,Python爬虫工程师               ,20-99人     ,15k-30k   ,发布于02月25日,3-5年
图玛深维           ,本科           ,医疗健康        ,B轮        ,北京 朝阳区 望京   ,高级python工程师               ,100-499人   ,25k-35k   ,发布于02月26日,5-10年
码隆科技           ,本科           ,移动互联网       ,B轮        ,北京 海淀区 中关村  ,Python研发工程师               ,100-499人   ,18k-30k   ,发布于02月15日,3-5年
SENSORO        ,本科           ,互联网         ,C轮        ,北京 朝阳区 望京   ,高级Python后端工程师             ,100-499人   ,15k-30k   ,发布于02月14日,3-5年
凤凰学易           ,本科           ,在线教育        ,B轮        ,北京 房山区 良乡   ,Python研发工程师               ,500-999人   ,20k-35k   ,发布于02月26日,3-5年
新得科技           ,本科           ,移动互联网       ,未融资       ,北京 朝阳区 石佛营  ,Python后端工程师               ,20-99人     ,15k-25k   ,发布于昨天    ,1-3年
旷视科技           ,本科           ,移动互联网       ,C轮        ,北京 海淀区 中关村  ,高级python开发工程师             ,1000-9999人 ,25k-30k   ,发布于02月21日,3-5年
传智播客           ,本科           ,在线教育        ,已上市       ,北京 昌平区 西三旗  ,python人工智能讲师              ,1000-9999人 ,40k-60k   ,发布于02月22日,3-5年
奥玩云网           ,本科           ,数据服务        ,天使轮       ,北京 朝阳区 亮马桥  ,python高级工程师               ,0-20人      ,15k-25k   ,发布于02月18日,3-5年
新得宝贝           ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 石佛营  ,Python工程师                 ,20-99人     ,15k-30k   ,发布于昨天    ,3-5年
城宿city-home    ,本科           ,旅游          ,B轮        ,北京 朝阳区 三里屯  ,Python高级开发工程师             ,500-999人   ,25k-35k   ,发布于02月25日,5-10年
智线云            ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 朝阳公园 ,高级Java/PHP/Python工程师      ,100-499人   ,12k-24k   ,发布于02月25日,3-5年
华瑞成业           ,本科           ,广告/公关/会展    ,未融资       ,北京 朝阳区 国贸   ,python工程师                 ,20-99人     ,20k-30k   ,发布于02月20日,3-5年
渊亭科技           ,学历不限         ,计算机软件       ,A轮        ,北京 海淀区 上地   ,Python高级工程师               ,100-499人   ,15k-30k   ,发布于昨天    ,3-5年
希子             ,本科           ,在线教育        ,A轮        ,北京 海淀区 学院路  ,python后端工程师               ,20-99人     ,20k-30k   ,发布于02月16日,1-3年
多吃水果           ,本科           ,电子商务        ,A轮        ,北京          ,Python工程师                 ,0-20人      ,15k-20k   ,发布于02月16日,1-3年
掌阅科技           ,本科           ,互联网         ,已上市       ,北京 朝阳区 高碑店  ,高级技术专家（Python）            ,500-999人   ,40k-50k   ,发布于02月14日,5-10年
Pocoweb        ,本科           ,数据服务        ,不需要融资     ,北京 朝阳区 三元桥  ,Python工程师                 ,20-99人     ,6k-11k    ,发布于02月20日,1-3年
北京趣活科技有限公司     ,学历不限         ,移动互联网       ,D轮及以上     ,北京 朝阳区 百子湾  ,python运维开发工程师             ,500-999人   ,12k-20k   ,发布于02月21日,1-3年
普惠             ,大专           ,运营商/增值服务    ,          ,北京          ,Python自动化测试               ,100-499人   ,7k-11k    ,发布于02月26日,1-3年
iHandy         ,本科           ,移动互联网       ,不需要融资     ,北京 海淀区 学院路  ,高级Python开发工程师             ,100-499人   ,20k-40k   ,发布于13:22 ,5-10年
微奇科技           ,大专           ,计算机软件       ,未融资       ,北京 朝阳区 酒仙桥  ,Python高级开发                ,20-99人     ,16k-22k   ,发布于昨天    ,5-10年
昱然智能           ,大专           ,计算机软件       ,不需要融资     ,北京 海淀区 苏州桥  ,Python开发工程师               ,20-99人     ,6k-12k    ,发布于14:09 ,1-3年
中云网安           ,本科           ,信息安全        ,A轮        ,北京 朝阳区 国贸   ,python开发工程师               ,20-99人     ,25k-35k   ,发布于09:41 ,3-5年
联合创展           ,本科           ,移动互联网       ,不需要融资     ,北京 朝阳区 望京   ,高级python研发工程师             ,100-499人   ,25k-50k   ,发布于02月20日,3-5年
北京天润融通         ,本科           ,通信/网络设备     ,已上市       ,北京 海淀区 中关村  ,Python高级开发                ,100-499人   ,15k-25k   ,发布于02月26日,3-5年
上海橡衫           ,本科           ,计算机软件       ,          ,北京 朝阳区 三元桥  ,资深Python工程师               ,20-99人     ,28k-55k   ,发布于02月25日,5-10年
中科边缘智慧         ,本科           ,互联网         ,未融资       ,北京 海淀区 北太平庄 ,Python研发工程师               ,20-99人     ,16k-25k   ,发布于昨天    ,3-5年
知卓科技           ,学历不限         ,互联网         ,未融资       ,北京 朝阳区 大屯   ,Python Web 工程师            ,0-20人      ,11k-22k   ,发布于02月26日,5-10年
互影             ,本科           ,音乐/视频/阅读    ,A轮        ,北京 朝阳区 酒仙桥  ,Python后端开发                ,20-99人     ,15k-25k   ,发布于02月25日,3-5年
中谷金科           ,本科           ,互联网         ,B轮        ,北京 通州区 北关   ,高级python工程师               ,20-99人     ,18k-25k   ,发布于02月26日,3-5年
北京小节拍科技有...    ,本科           ,互联网         ,不需要融资     ,北京 海淀区 中关村  ,Python开发工程师               ,20-99人     ,18k-25k   ,发布于02月18日,3-5年
掌阅科技           ,本科           ,互联网         ,已上市       ,北京 朝阳区 高碑店  ,高级服务研发工程师（Python）         ,500-999人   ,20k-30k   ,发布于02月15日,3-5年
智线云            ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 朝阳公园 ,全栈工程师-(PHP/Python/Java)   ,100-499人   ,15k-30k   ,发布于昨天    ,3-5年
明和中业           ,本科           ,互联网         ,不需要融资     ,北京 西城区 广内大街 ,Python 爬虫工程师              ,20-99人     ,8k-12k    ,发布于02月26日,3-5年
举人在线           ,本科           ,移动互联网       ,          ,北京 朝阳区 朝外   ,python实习生                 ,100-499人   ,4k-6k     ,发布于10:06 ,应届生
射雕             ,本科           ,游戏          ,A轮        ,北京 朝阳区 北苑   ,python高级工程师               ,20-99人     ,15k-30k   ,发布于02月16日,3-5年
百乘传媒           ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 小营   ,高级Python工程师               ,20-99人     ,18k-30k   ,发布于02月22日,3-5年
匠心无忧科技         ,大专           ,在线教育        ,未融资       ,北京 昌平区 回龙观  ,python兼职讲师                ,0-20人      ,10k-11k   ,发布于02月14日,1-3年
一起教育科技         ,本科           ,互联网         ,D轮及以上     ,北京 朝阳区 望京   ,服务器研发工程师Python            ,1000-9999人 ,15k-25k   ,发布于02月22日,经验不限
福满仓            ,本科           ,计算机服务       ,不需要融资     ,北京 海淀区 五道口  ,Python工程师                 ,100-499人   ,20k-30k   ,发布于02月17日,3-5年
谷德环宇科技         ,学历不限         ,移动互联网       ,天使轮       ,北京 海淀区 学院路  ,Python爬虫开发工程师             ,0-20人      ,15k-30k   ,发布于00:31 ,3-5年
北京市城果科技有...    ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 团结湖  ,Python开发工程师岗位             ,20-99人     ,13k-20k   ,发布于02月25日,3-5年
kingo指尖互联      ,学历不限         ,互联网         ,A轮        ,北京          ,Python爬虫工程师(兼职)           ,20-99人     ,2k-3k     ,发布于02月22日,经验不限
大连沃克斯          ,学历不限         ,计算机软件       ,          ,北京 海淀区 北下关  ,python开发                  ,20-99人     ,8k-12k    ,发布于09:34 ,3-5年
智线云            ,本科           ,移动互联网       ,A轮        ,北京 朝阳区 朝阳公园 ,高级Python开发工程师             ,100-499人   ,15k-30k   ,发布于昨天    ,3-5年
大湾控股           ,本科           ,投资/融资       ,B轮        ,北京 丰台区 科技园区 ,Python 爬虫工程师              ,20-99人     ,8k-12k    ,发布于02月19日,3-5年
老虎集团           ,学历不限         ,互联网         ,C轮        ,北京 朝阳区 太阳宫  ,Python 研发工程师              ,100-499人   ,20k-40k   ,发布于02月24日,3-5年
百观             ,本科           ,互联网金融       ,A轮        ,北京 东城区 东四   ,Python爬虫与数据工程师            ,20-99人     ,17k-26k   ,发布于02月23日,经验不限
天津数加科技         ,本科           ,移动互联网       ,天使轮       ,北京 海淀区 知春路  ,Python爬虫实习生               ,20-99人     ,5k-10k    ,发布于02月19日,1年以内
奔讯             ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 小营   ,高级Python开发工程师             ,100-499人   ,11k-18k   ,发布于02月25日,5-10年
云识图            ,本科           ,互联网         ,天使轮       ,北京          ,Python开发工程师               ,20-99人     ,10k-15k   ,发布于02月26日,1-3年
微迅             ,大专           ,互联网         ,未融资       ,北京 海淀区 上地   ,Python开发工程师               ,20-99人     ,20k-25k   ,发布于02月22日,3-5年
长木谷医疗          ,本科           ,医疗健康        ,天使轮       ,北京          ,图像处理工程师（python）           ,20-99人     ,13k-26k   ,发布于02月20日,1-3年
知卓科技           ,学历不限         ,互联网         ,未融资       ,北京 朝阳区 大屯   ,Python web开发              ,0-20人      ,11k-22k   ,发布于02月26日,5-10年
北京未动科技有限公司     ,本科           ,智能硬件        ,A轮        ,北京 朝阳区 望京   ,高级Python开发                ,20-99人     ,25k-50k   ,发布于02月14日,5-10年
安全元素           ,本科           ,信息安全        ,天使轮       ,北京 海淀区 上地   ,Python研发工程师               ,0-20人      ,12k-18k   ,发布于02月26日,经验不限
中谷金科           ,本科           ,互联网         ,B轮        ,北京 通州区 北关   ,python高级开发                ,20-99人     ,18k-25k   ,发布于02月26日,3-5年
北京睿信           ,本科           ,计算机软件       ,未融资       ,北京 朝阳区 望京   ,数据分析工程师（python）           ,20-99人     ,11k-20k   ,发布于02月26日,3-5年
美洽             ,本科           ,互联网         ,B轮        ,北京 昌平区 回龙观  ,python（解决方案研发工程岗）         ,100-499人   ,8k-13k    ,发布于02月22日,1-3年
高驰迅杰智能技术       ,本科           ,电力/热力/燃气/水利 ,不需要融资     ,北京 西城区 广外大街 ,Python 开发工程师              ,0-20人      ,9k-14k    ,发布于02月14日,1-3年
掌阅科技           ,本科           ,互联网         ,已上市       ,北京 朝阳区 高碑店  ,高级服务研发工程师（Python）         ,500-999人   ,20k-35k   ,发布于02月21日,5-10年
